date,the deficit_unscaled,the deficit_monthly,isPartial,scale,the deficit
2006-07-24,31,31,False,0.31,9.61
2006-07-25,0,0,False,0.0,0.0
2006-07-26,62,62,False,0.62,38.44
2006-07-27,0,0,False,0.0,0.0
2006-07-28,33,33,False,0.33,10.89
2006-07-29,0,0,False,0.0,0.0
2006-07-30,0,0,False,0.0,0.0
2006-07-31,92,92,False,0.92,84.64
2006-08-01,48,48,False,0.48,23.04
2006-08-02,0,0,False,0.0,0.0
2006-08-03,0,0,False,0.0,0.0
2006-08-04,53,53,False,0.53,28.09
2006-08-05,0,0,False,0.0,0.0
2006-08-06,0,0,False,0.0,0.0
2006-08-07,0,0,False,0.0,0.0
2006-08-08,0,0,False,0.0,0.0
2006-08-09,48,48,False,0.48,23.04
2006-08-10,0,0,False,0.0,0.0
2006-08-11,0,0,False,0.0,0.0
2006-08-12,0,0,False,0.0,0.0
2006-08-13,79,79,False,0.79,62.410000000000004
2006-08-14,0,0,False,0.0,0.0
2006-08-15,47,47,False,0.47,22.09
2006-08-16,0,0,False,0.0,0.0
2006-08-17,49,49,False,0.49,24.009999999999998
2006-08-18,0,0,False,0.0,0.0
2006-08-19,0,0,False,0.0,0.0
2006-08-20,0,0,False,0.0,0.0
2006-08-21,0,0,False,0.0,0.0
2006-08-22,0,0,False,0.0,0.0
2006-08-23,0,0,False,0.0,0.0
2006-08-24,0,0,False,0.0,0.0
2006-08-25,100,100,False,1.0,100.0
2006-08-26,0,0,False,0.0,0.0
2006-08-27,0,0,False,0.0,0.0
2006-08-28,0,0,False,0.0,0.0
2006-08-29,90,90,False,0.9,81.0
2006-08-30,0,0,False,0.0,0.0
2006-08-31,0,0,False,0.0,0.0
2006-09-01,36,36,False,0.36,12.959999999999999
2006-09-02,0,0,False,0.0,0.0
2006-09-03,0,0,False,0.0,0.0
2006-09-04,0,0,False,0.0,0.0
2006-09-05,0,0,False,0.0,0.0
2006-09-06,31,31,False,0.31,9.61
2006-09-07,0,0,False,0.0,0.0
2006-09-08,0,0,False,0.0,0.0
2006-09-09,0,0,False,0.0,0.0
2006-09-10,0,0,False,0.0,0.0
2006-09-11,31,31,False,0.31,9.61
2006-09-12,31,31,False,0.31,9.61
2006-09-13,0,0,False,0.0,0.0
2006-09-14,0,0,False,0.0,0.0
2006-09-15,33,33,False,0.33,10.89
2006-09-16,0,0,False,0.0,0.0
2006-09-17,0,0,False,0.0,0.0
2006-09-18,0,0,False,0.0,0.0
2006-09-19,90,90,False,0.9,81.0
2006-09-20,62,62,False,0.62,38.44
2006-09-21,32,32,False,0.32,10.24
2006-09-22,100,100,False,1.0,100.0
2006-09-23,47,47,False,0.47,22.09
2006-09-24,47,47,False,0.47,22.09
2006-09-25,0,0,False,0.0,0.0
2006-09-26,0,0,False,0.0,0.0
2006-09-27,31,31,False,0.31,9.61
2006-09-28,0,0,False,0.0,0.0
2006-09-29,33,33,False,0.33,10.89
2006-09-30,0,0,False,0.0,0.0
2006-10-01,0,0,False,0.0,0.0
2006-10-02,0,0,False,0.0,0.0
2006-10-03,25,25,False,0.25,6.25
2006-10-04,25,25,False,0.25,6.25
2006-10-05,0,0,False,0.0,0.0
2006-10-06,0,0,False,0.0,0.0
2006-10-07,0,0,False,0.0,0.0
2006-10-08,41,41,False,0.41,16.81
2006-10-09,0,0,False,0.0,0.0
2006-10-10,49,49,False,0.49,24.009999999999998
2006-10-11,0,0,False,0.0,0.0
2006-10-12,100,100,False,1.0,100.0
2006-10-13,0,0,False,0.0,0.0
