date,profit_unscaled,profit_monthly,isPartial,scale,profit
2006-06-16,80,80,False,0.8,64.0
2006-06-17,31,31,False,0.31,9.61
2006-06-18,31,31,False,0.31,9.61
2006-06-19,100,100,False,1.0,100.0
2006-06-20,78,78,False,0.78,60.84
2006-06-21,79,79,False,0.79,62.410000000000004
2006-06-22,48,48,False,0.48,23.04
2006-06-23,53,53,False,0.53,28.09
2006-06-24,64,64,False,0.64,40.96
2006-06-25,53,53,False,0.53,28.09
2006-06-26,70,70,False,0.7,49.0
2006-06-27,72,72,False,0.72,51.839999999999996
2006-06-28,71,71,False,0.71,50.41
2006-06-29,69,69,False,0.69,47.61
2006-06-30,47,47,False,0.47,22.09
2006-07-01,47,47,False,0.47,22.09
2006-07-02,29,29,False,0.29,8.41
2006-07-03,64,64,False,0.64,40.96
2006-07-04,35,35,False,0.35,12.25
2006-07-05,80,80,False,0.8,64.0
2006-07-06,71,71,False,0.71,50.41
2006-07-07,99,99,False,0.99,98.01
2006-07-08,62,62,False,0.62,38.44
2006-07-09,52,52,False,0.52,27.04
2006-07-10,66,66,False,0.66,43.56
2006-07-11,76,76,False,0.76,57.76
2006-07-12,68,68,False,0.68,46.24
2006-07-13,56,56,False,0.56,31.360000000000003
2006-07-14,100,100,False,1.0,100.0
2006-07-15,54,54,False,0.54,29.160000000000004
2006-07-16,70,70,False,0.7,49.0
2006-07-17,66,66,False,0.66,43.56
2006-07-18,81,81,False,0.81,65.61
2006-07-19,77,77,False,0.77,59.29
2006-07-20,75,75,False,0.75,56.25
2006-07-21,61,61,False,0.61,37.21
2006-07-22,49,49,False,0.49,24.009999999999998
2006-07-23,39,39,False,0.39,15.21
2006-07-24,88,88,False,0.88,77.44
2006-07-25,58,58,False,0.58,33.64
2006-07-26,84,84,False,0.84,70.56
2006-07-27,74,74,False,0.74,54.76
2006-07-28,89,89,False,0.89,79.21000000000001
2006-07-29,39,39,False,0.39,15.21
2006-07-30,55,55,False,0.55,30.250000000000004
2006-07-31,56,56,False,0.56,31.360000000000003
2006-08-01,73,73,False,0.73,53.29
2006-08-02,78,78,False,0.78,60.84
2006-08-03,95,95,False,0.95,90.25
2006-08-04,89,89,False,0.89,79.21000000000001
2006-08-05,35,35,False,0.35,12.25
2006-08-06,69,69,False,0.69,47.61
2006-08-07,72,72,False,0.72,51.839999999999996
2006-08-08,95,95,False,0.95,90.25
2006-08-09,76,76,False,0.76,57.76
2006-08-10,88,88,False,0.88,77.44
2006-08-11,72,72,False,0.72,51.839999999999996
2006-08-12,55,55,False,0.55,30.250000000000004
2006-08-13,45,45,False,0.45,20.25
2006-08-14,72,72,False,0.72,51.839999999999996
2006-08-15,80,80,False,0.8,64.0
2006-08-16,69,69,False,0.69,47.61
2006-08-17,83,83,False,0.83,68.89
2006-08-18,66,66,False,0.66,43.56
2006-08-19,46,46,False,0.46,21.16
2006-08-20,31,31,False,0.31,9.61
2006-08-21,61,61,False,0.61,37.21
2006-08-22,100,100,False,1.0,100.0
2006-08-23,87,87,False,0.87,75.69
2006-08-24,73,73,False,0.73,53.29
2006-08-25,61,61,False,0.61,37.21
2006-08-26,63,63,False,0.63,39.69
2006-08-27,55,55,False,0.55,30.250000000000004
2006-08-28,81,81,False,0.81,65.61
2006-08-29,75,75,False,0.75,56.25
2006-08-30,92,92,False,0.92,84.64
2006-08-31,82,82,False,0.82,67.24
2006-09-01,55,55,False,0.55,30.250000000000004
2006-09-02,67,67,False,0.67,44.89
2006-09-03,63,63,False,0.63,39.69
2006-09-04,40,40,False,0.4,16.0
2006-09-05,85,85,False,0.85,72.25
2006-09-06,70,70,False,0.7,49.0
2006-09-07,78,78,False,0.78,60.84
2006-09-08,80,80,False,0.8,64.0
2006-09-09,54,54,False,0.54,29.160000000000004
2006-09-10,80,80,False,0.8,64.0
2006-09-11,61,61,False,0.61,37.21
2006-09-12,76,76,False,0.76,57.76
2006-09-13,80,80,False,0.8,64.0
2006-09-14,93,93,False,0.93,86.49000000000001
2006-09-15,83,83,False,0.83,68.89
2006-09-16,58,58,False,0.58,33.64
2006-09-17,34,34,False,0.34,11.56
2006-09-18,93,93,False,0.93,86.49000000000001
2006-09-19,75,75,False,0.75,56.25
2006-09-20,82,82,False,0.82,67.24
2006-09-21,84,84,False,0.84,70.56
2006-09-22,72,72,False,0.72,51.839999999999996
2006-09-23,50,50,False,0.5,25.0
2006-09-24,62,62,False,0.62,38.44
2006-09-25,100,100,False,1.0,100.0
2006-09-26,74,74,False,0.74,54.76
2006-09-27,100,100,False,1.0,100.0
2006-09-28,74,74,False,0.74,54.76
