date,loan_unscaled,loan_monthly,isPartial,scale,loan
2006-05-01,76,71.0,False,0.71,53.959999999999994
2006-05-02,76,71.0,,0.71,53.959999999999994
2006-05-03,79,71.0,,0.71,56.089999999999996
2006-05-04,71,71.0,,0.71,50.41
2006-05-05,70,71.0,,0.71,49.699999999999996
2006-05-06,66,71.0,,0.71,46.86
2006-05-07,66,71.0,,0.71,46.86
2006-05-08,80,71.0,,0.71,56.8
2006-05-09,74,71.0,,0.71,52.54
2006-05-10,78,71.0,,0.71,55.379999999999995
2006-05-11,69,71.0,,0.71,48.989999999999995
2006-05-12,78,71.0,,0.71,55.379999999999995
2006-05-13,62,71.0,,0.71,44.019999999999996
2006-05-14,63,71.0,,0.71,44.73
2006-05-15,80,71.0,,0.71,56.8
2006-05-16,82,71.0,,0.71,58.22
2006-05-17,74,71.0,,0.71,52.54
2006-05-18,76,71.0,,0.71,53.959999999999994
2006-05-19,71,71.0,,0.71,50.41
2006-05-20,57,71.0,,0.71,40.47
2006-05-21,58,71.0,,0.71,41.18
2006-05-22,81,71.0,,0.71,57.51
2006-05-23,81,71.0,,0.71,57.51
2006-05-24,82,71.0,,0.71,58.22
2006-05-25,73,71.0,,0.71,51.83
2006-05-26,73,71.0,,0.71,51.83
2006-05-27,65,71.0,,0.71,46.15
2006-05-28,52,71.0,,0.71,36.92
2006-05-29,73,71.0,,0.71,51.83
2006-05-30,86,71.0,,0.71,61.059999999999995
2006-05-31,100,71.0,,0.71,71.0
2006-06-01,60,90.0,False,0.9,54.0
2006-06-02,60,90.0,,0.9,54.0
2006-06-03,39,90.0,,0.9,35.1
2006-06-04,39,90.0,,0.9,35.1
2006-06-05,61,90.0,,0.9,54.9
2006-06-06,68,90.0,,0.9,61.2
2006-06-07,59,90.0,,0.9,53.1
2006-06-08,53,90.0,,0.9,47.7
2006-06-09,54,90.0,,0.9,48.6
2006-06-10,45,90.0,,0.9,40.5
2006-06-11,39,90.0,,0.9,35.1
2006-06-12,58,90.0,,0.9,52.2
2006-06-13,65,90.0,,0.9,58.5
2006-06-14,66,90.0,,0.9,59.4
2006-06-15,65,90.0,,0.9,58.5
2006-06-16,63,90.0,,0.9,56.7
2006-06-17,45,90.0,,0.9,40.5
2006-06-18,47,90.0,,0.9,42.300000000000004
2006-06-19,67,90.0,,0.9,60.300000000000004
2006-06-20,71,90.0,,0.9,63.9
2006-06-21,61,90.0,,0.9,54.9
2006-06-22,69,90.0,,0.9,62.1
2006-06-23,60,90.0,,0.9,54.0
2006-06-24,51,90.0,,0.9,45.9
2006-06-25,45,90.0,,0.9,40.5
2006-06-26,78,90.0,,0.9,70.2
2006-06-27,81,90.0,,0.9,72.9
2006-06-28,84,90.0,,0.9,75.60000000000001
2006-06-29,94,90.0,,0.9,84.60000000000001
2006-06-30,100,90.0,,0.9,90.0
2006-07-01,98,79.0,False,0.79,77.42
2006-07-02,63,79.0,,0.79,49.77
2006-07-03,74,79.0,,0.79,58.46
2006-07-04,61,79.0,,0.79,48.190000000000005
2006-07-05,100,79.0,,0.79,79.0
2006-07-06,79,79.0,,0.79,62.410000000000004
2006-07-07,89,79.0,,0.79,70.31
2006-07-08,62,79.0,,0.79,48.980000000000004
2006-07-09,53,79.0,,0.79,41.870000000000005
2006-07-10,89,79.0,,0.79,70.31
