date,poverty line_unscaled,poverty line_monthly,isPartial,scale,poverty line
2006-07-17,30,30,False,0.3,9.0
2006-07-18,30,30,False,0.3,9.0
2006-07-19,0,0,False,0.0,0.0
2006-07-20,0,0,False,0.0,0.0
2006-07-21,32,32,False,0.32,10.24
2006-07-22,0,0,False,0.0,0.0
2006-07-23,0,0,False,0.0,0.0
2006-07-24,0,0,False,0.0,0.0
2006-07-25,88,88,False,0.88,77.44
2006-07-26,59,59,False,0.59,34.809999999999995
2006-07-27,60,60,False,0.6,36.0
2006-07-28,48,48,False,0.48,23.04
2006-07-29,48,48,False,0.48,23.04
2006-07-30,72,72,False,0.72,51.839999999999996
2006-07-31,0,0,False,0.0,0.0
2006-08-01,61,61,False,0.61,37.21
2006-08-02,0,0,False,0.0,0.0
2006-08-03,0,0,False,0.0,0.0
2006-08-04,0,0,False,0.0,0.0
2006-08-05,100,100,False,1.0,100.0
2006-08-06,0,0,False,0.0,0.0
2006-08-07,0,0,False,0.0,0.0
2006-08-08,61,61,False,0.61,37.21
2006-08-09,62,62,False,0.62,38.44
2006-08-10,62,62,False,0.62,38.44
2006-08-11,67,67,False,0.67,44.89
2006-08-12,99,99,False,0.99,98.01
2006-08-13,0,0,False,0.0,0.0
2006-08-14,0,0,False,0.0,0.0
2006-08-15,0,0,False,0.0,0.0
2006-08-16,63,63,False,0.63,39.69
2006-08-17,63,63,False,0.63,39.69
2006-08-18,66,66,False,0.66,43.56
2006-08-19,0,0,False,0.0,0.0
2006-08-20,98,98,False,0.98,96.03999999999999
2006-08-21,61,61,False,0.61,37.21
2006-08-22,60,60,False,0.6,36.0
2006-08-23,61,61,False,0.61,37.21
2006-08-24,62,62,False,0.62,38.44
2006-08-25,96,96,False,0.96,92.16
2006-08-26,92,92,False,0.92,84.64
2006-08-27,92,92,False,0.92,84.64
2006-08-28,0,0,False,0.0,0.0
2006-08-29,0,0,False,0.0,0.0
2006-08-30,89,89,False,0.89,79.21000000000001
2006-08-31,0,0,False,0.0,0.0
2006-09-01,56,56,False,0.56,31.360000000000003
2006-09-02,81,81,False,0.81,65.61
2006-09-03,0,0,False,0.0,0.0
2006-09-04,0,0,False,0.0,0.0
2006-09-05,50,50,False,0.5,25.0
2006-09-06,100,100,False,1.0,100.0
2006-09-07,51,51,False,0.51,26.01
2006-09-08,53,53,False,0.53,28.09
2006-09-09,0,0,False,0.0,0.0
2006-09-10,0,0,False,0.0,0.0
2006-09-11,50,50,False,0.5,25.0
2006-09-12,74,74,False,0.74,54.76
2006-09-13,73,73,False,0.73,53.29
2006-09-14,100,100,False,1.0,100.0
2006-09-15,53,53,False,0.53,28.09
2006-09-16,79,79,False,0.79,62.410000000000004
2006-09-17,0,0,False,0.0,0.0
2006-09-18,50,50,False,0.5,25.0
2006-09-19,48,48,False,0.48,23.04
2006-09-20,49,49,False,0.49,24.009999999999998
2006-09-21,76,76,False,0.76,57.76
2006-09-22,53,53,False,0.53,28.09
2006-09-23,76,76,False,0.76,57.76
2006-09-24,76,76,False,0.76,57.76
2006-09-25,48,48,False,0.48,23.04
2006-09-26,49,49,False,0.49,24.009999999999998
