date,bankruptcy court_unscaled,bankruptcy court_monthly,isPartial,scale,bankruptcy court
2005-11-21,40,40,False,0.4,16.0
2005-11-22,29,29,False,0.29,8.41
2005-11-23,57,57,False,0.57,32.489999999999995
2005-11-24,36,36,False,0.36,12.959999999999999
2005-11-25,48,48,False,0.48,23.04
2005-11-26,17,17,False,0.17,2.89
2005-11-27,16,16,False,0.16,2.56
2005-11-28,86,86,False,0.86,73.96
2005-11-29,55,55,False,0.55,30.250000000000004
2005-11-30,56,56,False,0.56,31.360000000000003
2005-12-01,70,70,False,0.7,49.0
2005-12-02,87,87,False,0.87,75.69
2005-12-03,18,18,False,0.18,3.2399999999999998
2005-12-04,0,0,False,0.0,0.0
2005-12-05,47,47,False,0.47,22.09
2005-12-06,56,56,False,0.56,31.360000000000003
2005-12-07,80,80,False,0.8,64.0
2005-12-08,94,94,False,0.94,88.36
2005-12-09,25,25,False,0.25,6.25
2005-12-10,0,0,False,0.0,0.0
2005-12-11,0,0,False,0.0,0.0
2005-12-12,71,71,False,0.71,50.41
2005-12-13,58,58,False,0.58,33.64
2005-12-14,70,70,False,0.7,49.0
2005-12-15,73,73,False,0.73,53.29
2005-12-16,92,92,False,0.92,84.64
2005-12-17,39,39,False,0.39,15.21
2005-12-18,41,41,False,0.41,16.81
2005-12-19,87,87,False,0.87,75.69
2005-12-20,50,50,False,0.5,25.0
2005-12-21,67,67,False,0.67,44.89
2005-12-22,14,14,False,0.14,1.9600000000000002
2005-12-23,68,68,False,0.68,46.24
2005-12-24,0,0,False,0.0,0.0
2005-12-25,0,0,False,0.0,0.0
2005-12-26,0,0,False,0.0,0.0
2005-12-27,30,30,False,0.3,9.0
2005-12-28,43,43,False,0.43,18.49
2005-12-29,100,100,False,1.0,100.0
2005-12-30,46,46,False,0.46,21.16
2005-12-31,20,20,False,0.2,4.0
2006-01-01,0,0,False,0.0,0.0
2006-01-02,27,27,False,0.27,7.290000000000001
2006-01-03,71,71,False,0.71,50.41
2006-01-04,0,0,False,0.0,0.0
2006-01-05,100,100,False,1.0,100.0
2006-01-06,42,42,False,0.42,17.64
2006-01-07,30,30,False,0.3,9.0
2006-01-08,31,31,False,0.31,9.61
2006-01-09,49,49,False,0.49,24.009999999999998
2006-01-10,47,47,False,0.47,22.09
2006-01-11,94,94,False,0.94,88.36
2006-01-12,39,39,False,0.39,15.21
2006-01-13,50,50,False,0.5,25.0
2006-01-14,45,45,False,0.45,20.25
2006-01-15,0,0,False,0.0,0.0
2006-01-16,11,11,False,0.11,1.21
2006-01-17,47,47,False,0.47,22.09
2006-01-18,37,37,False,0.37,13.69
2006-01-19,57,57,False,0.57,32.489999999999995
2006-01-20,49,49,False,0.49,24.009999999999998
2006-01-21,14,14,False,0.14,1.9600000000000002
2006-01-22,29,29,False,0.29,8.41
2006-01-23,83,83,False,0.83,68.89
2006-01-24,54,54,False,0.54,29.160000000000004
2006-01-25,83,83,False,0.83,68.89
2006-01-26,28,28,False,0.28,7.840000000000001
2006-01-27,10,10,False,0.1,1.0
2006-01-28,29,29,False,0.29,8.41
2006-01-29,0,0,False,0.0,0.0
2006-01-30,55,55,False,0.55,30.250000000000004
2006-01-31,53,53,False,0.53,28.09
2006-02-01,61,61,False,0.61,37.21
2006-02-02,100,100,False,1.0,100.0
2006-02-03,66,66,False,0.66,43.56
2006-02-04,58,58,False,0.58,33.64
2006-02-05,0,0,False,0.0,0.0
2006-02-06,51,51,False,0.51,26.01
2006-02-07,60,60,False,0.6,36.0
2006-02-08,98,98,False,0.98,96.03999999999999
2006-02-09,75,75,False,0.75,56.25
2006-02-10,66,66,False,0.66,43.56
2006-02-11,19,19,False,0.19,3.61
2006-02-12,0,0,False,0.0,0.0
2006-02-13,73,73,False,0.73,53.29
2006-02-14,86,86,False,0.86,73.96
2006-02-15,51,51,False,0.51,26.01
2006-02-16,88,88,False,0.88,77.44
2006-02-17,93,93,False,0.93,86.49000000000001
2006-02-18,0,0,False,0.0,0.0
2006-02-19,39,39,False,0.39,15.21
2006-02-20,82,82,False,0.82,67.24
2006-02-21,37,37,False,0.37,13.69
2006-02-22,61,61,False,0.61,37.21
2006-02-23,50,50,False,0.5,25.0
2006-02-24,13,13,False,0.13,1.69
2006-02-25,0,0,False,0.0,0.0
2006-02-26,20,20,False,0.2,4.0
2006-02-27,37,37,False,0.37,13.69
2006-02-28,70,70,False,0.7,49.0
2006-03-01,46,46,False,0.46,21.16
2006-03-02,62,62,False,0.62,38.44
2006-03-03,33,33,False,0.33,10.89
