date,CAR DONATE_unscaled,CAR DONATE_monthly,isPartial,scale,CAR DONATE
2006-04-03,63,50.0,,0.5,31.5
2006-04-04,30,50.0,,0.5,15.0
2006-04-05,31,50.0,,0.5,15.5
2006-04-06,0,50.0,,0.5,0.0
2006-04-07,67,50.0,,0.5,33.5
2006-04-08,0,50.0,,0.5,0.0
2006-04-09,0,50.0,,0.5,0.0
2006-04-10,95,50.0,,0.5,47.5
2006-04-11,62,50.0,,0.5,31.0
2006-04-12,32,50.0,,0.5,16.0
2006-04-13,67,50.0,,0.5,33.5
2006-04-14,57,50.0,,0.5,28.5
2006-04-15,53,50.0,,0.5,26.5
2006-04-16,55,50.0,,0.5,27.5
2006-04-17,0,50.0,,0.5,0.0
2006-04-18,0,50.0,,0.5,0.0
2006-04-19,0,50.0,,0.5,0.0
2006-04-20,31,50.0,,0.5,15.5
2006-04-21,34,50.0,,0.5,17.0
2006-04-22,50,50.0,,0.5,25.0
2006-04-23,49,50.0,,0.5,24.5
2006-04-24,30,50.0,,0.5,15.0
2006-04-25,59,50.0,,0.5,29.5
2006-04-26,30,50.0,,0.5,15.0
2006-04-27,47,50.0,,0.5,23.5
2006-04-28,67,50.0,,0.5,33.5
2006-04-29,51,50.0,,0.5,25.5
2006-04-30,100,50.0,,0.5,50.0
2006-05-01,50,52.0,False,0.52,26.0
2006-05-02,73,52.0,,0.52,37.96
2006-05-03,49,52.0,,0.52,25.48
2006-05-04,51,52.0,,0.52,26.52
2006-05-05,41,52.0,,0.52,21.32
2006-05-06,43,52.0,,0.52,22.36
2006-05-07,42,52.0,,0.52,21.84
2006-05-08,49,52.0,,0.52,25.48
2006-05-09,25,52.0,,0.52,13.0
2006-05-10,100,52.0,,0.52,52.0
2006-05-11,38,52.0,,0.52,19.76
2006-05-12,27,52.0,,0.52,14.040000000000001
2006-05-13,63,52.0,,0.52,32.76
2006-05-14,0,52.0,,0.52,0.0
2006-05-15,50,52.0,,0.52,26.0
2006-05-16,50,52.0,,0.52,26.0
2006-05-17,38,52.0,,0.52,19.76
2006-05-18,26,52.0,,0.52,13.52
2006-05-19,55,52.0,,0.52,28.6
2006-05-20,87,52.0,,0.52,45.24
2006-05-21,0,52.0,,0.52,0.0
2006-05-22,26,52.0,,0.52,13.52
2006-05-23,38,52.0,,0.52,19.76
2006-05-24,26,52.0,,0.52,13.52
2006-05-25,53,52.0,,0.52,27.560000000000002
2006-05-26,58,52.0,,0.52,30.16
2006-05-27,46,52.0,,0.52,23.92
2006-05-28,0,52.0,,0.52,0.0
2006-05-29,82,52.0,,0.52,42.64
2006-05-30,52,52.0,,0.52,27.04
2006-05-31,26,52.0,,0.52,13.52
2006-06-01,49,50.0,False,0.5,24.5
2006-06-02,52,50.0,,0.5,26.0
2006-06-03,39,50.0,,0.5,19.5
2006-06-04,0,50.0,,0.5,0.0
2006-06-05,49,50.0,,0.5,24.5
2006-06-06,24,50.0,,0.5,12.0
2006-06-07,72,50.0,,0.5,36.0
2006-06-08,24,50.0,,0.5,12.0
2006-06-09,26,50.0,,0.5,13.0
2006-06-10,40,50.0,,0.5,20.0
2006-06-11,0,50.0,,0.5,0.0
2006-06-12,61,50.0,,0.5,30.5
2006-06-13,61,50.0,,0.5,30.5
2006-06-14,25,50.0,,0.5,12.5
2006-06-15,51,50.0,,0.5,25.5
2006-06-16,28,50.0,,0.5,14.0
2006-06-17,42,50.0,,0.5,21.0
2006-06-18,43,50.0,,0.5,21.5
2006-06-19,100,50.0,,0.5,50.0
2006-06-20,37,50.0,,0.5,18.5
2006-06-21,25,50.0,,0.5,12.5
2006-06-22,50,50.0,,0.5,25.0
2006-06-23,53,50.0,,0.5,26.5
2006-06-24,39,50.0,,0.5,19.5
2006-06-25,78,50.0,,0.5,39.0
2006-06-26,0,50.0,,0.5,0.0
2006-06-27,72,50.0,,0.5,36.0
2006-06-28,36,50.0,,0.5,18.0
2006-06-29,37,50.0,,0.5,18.5
2006-06-30,27,50.0,,0.5,13.5
2006-07-01,0,76.0,False,0.76,0.0
2006-07-02,33,76.0,,0.76,25.080000000000002
2006-07-03,47,76.0,,0.76,35.72
2006-07-04,29,76.0,,0.76,22.04
2006-07-05,21,76.0,,0.76,15.96
2006-07-06,37,76.0,,0.76,28.12
2006-07-07,40,76.0,,0.76,30.4
2006-07-08,58,76.0,,0.76,44.08
2006-07-09,31,76.0,,0.76,23.56
2006-07-10,18,76.0,,0.76,13.68
2006-07-11,0,76.0,,0.76,0.0
2006-07-12,55,76.0,,0.76,41.8
2006-07-13,19,76.0,,0.76,14.44
2006-07-14,0,76.0,,0.76,0.0
2006-07-15,59,76.0,,0.76,44.84
2006-07-16,0,76.0,,0.76,0.0
2006-07-17,18,76.0,,0.76,13.68
2006-07-18,90,76.0,,0.76,68.4
2006-07-19,0,76.0,,0.76,0.0
2006-07-20,19,76.0,,0.76,14.44
2006-07-21,100,76.0,,0.76,76.0
2006-07-22,0,76.0,,0.76,0.0
2006-07-23,0,76.0,,0.76,0.0
2006-07-24,0,76.0,,0.76,0.0
2006-07-25,54,76.0,,0.76,41.04
2006-07-26,55,76.0,,0.76,41.8
2006-07-27,19,76.0,,0.76,14.44
2006-07-28,20,76.0,,0.76,15.2
2006-07-29,0,76.0,,0.76,0.0
2006-07-30,29,76.0,,0.76,22.04
2006-07-31,37,76.0,,0.76,28.12
2006-08-01,40,72.0,False,0.72,28.799999999999997
2006-08-02,20,72.0,,0.72,14.399999999999999
2006-08-03,42,72.0,,0.72,30.24
2006-08-04,67,72.0,,0.72,48.239999999999995
2006-08-05,100,72.0,,0.72,72.0
2006-08-06,34,72.0,,0.72,24.48
2006-08-07,21,72.0,,0.72,15.12
2006-08-08,30,72.0,,0.72,21.599999999999998
2006-08-09,40,72.0,,0.72,28.799999999999997
2006-08-10,82,72.0,,0.72,59.04
2006-08-11,33,72.0,,0.72,23.759999999999998
2006-08-12,65,72.0,,0.72,46.8
2006-08-13,0,72.0,,0.72,0.0
2006-08-14,72,72.0,,0.72,51.839999999999996
2006-08-15,50,72.0,,0.72,36.0
2006-08-16,62,72.0,,0.72,44.64
2006-08-17,0,72.0,,0.72,0.0
2006-08-18,44,72.0,,0.72,31.68
2006-08-19,47,72.0,,0.72,33.839999999999996
2006-08-20,0,72.0,,0.72,0.0
2006-08-21,20,72.0,,0.72,14.399999999999999
2006-08-22,49,72.0,,0.72,35.28
2006-08-23,40,72.0,,0.72,28.799999999999997
2006-08-24,20,72.0,,0.72,14.399999999999999
2006-08-25,42,72.0,,0.72,30.24
2006-08-26,31,72.0,,0.72,22.32
2006-08-27,60,72.0,,0.72,43.199999999999996
2006-08-28,19,72.0,,0.72,13.68
2006-08-29,29,72.0,,0.72,20.88
2006-08-30,29,72.0,,0.72,20.88
2006-08-31,20,72.0,,0.72,14.399999999999999
2006-09-01,29,65.0,False,0.65,18.85
