date,the patron_unscaled,the patron_monthly,isPartial,scale,the patron
2006-04-18,20,57.0,,0.57,11.399999999999999
2006-04-19,61,57.0,,0.57,34.769999999999996
2006-04-20,21,57.0,,0.57,11.969999999999999
2006-04-21,66,57.0,,0.57,37.62
2006-04-22,65,57.0,,0.57,37.05
2006-04-23,32,57.0,,0.57,18.24
2006-04-24,20,57.0,,0.57,11.399999999999999
2006-04-25,78,57.0,,0.57,44.459999999999994
2006-04-26,20,57.0,,0.57,11.399999999999999
2006-04-27,20,57.0,,0.57,11.399999999999999
2006-04-28,0,57.0,,0.57,0.0
2006-04-29,0,57.0,,0.57,0.0
2006-04-30,0,57.0,,0.57,0.0
2006-05-01,29,50.0,False,0.5,14.5
2006-05-02,28,50.0,,0.5,14.0
2006-05-03,29,50.0,,0.5,14.5
2006-05-04,30,50.0,,0.5,15.0
2006-05-05,0,50.0,,0.5,0.0
2006-05-06,0,50.0,,0.5,0.0
2006-05-07,0,50.0,,0.5,0.0
2006-05-08,87,50.0,,0.5,43.5
2006-05-09,58,50.0,,0.5,29.0
2006-05-10,59,50.0,,0.5,29.5
2006-05-11,29,50.0,,0.5,14.5
2006-05-12,95,50.0,,0.5,47.5
2006-05-13,50,50.0,,0.5,25.0
2006-05-14,100,50.0,,0.5,50.0
2006-05-15,88,50.0,,0.5,44.0
2006-05-16,58,50.0,,0.5,29.0
2006-05-17,60,50.0,,0.5,30.0
2006-05-18,60,50.0,,0.5,30.0
2006-05-19,32,50.0,,0.5,16.0
2006-05-20,51,50.0,,0.5,25.5
2006-05-21,0,50.0,,0.5,0.0
2006-05-22,60,50.0,,0.5,30.0
2006-05-23,0,50.0,,0.5,0.0
2006-05-24,30,50.0,,0.5,15.0
2006-05-25,0,50.0,,0.5,0.0
2006-05-26,67,50.0,,0.5,33.5
2006-05-27,0,50.0,,0.5,0.0
2006-05-28,0,50.0,,0.5,0.0
2006-05-29,0,50.0,,0.5,0.0
2006-05-30,30,50.0,,0.5,15.0
2006-05-31,30,50.0,,0.5,15.0
2006-06-01,0,26.0,False,0.26,0.0
2006-06-02,0,26.0,,0.26,0.0
2006-06-03,49,26.0,,0.26,12.74
2006-06-04,100,26.0,,0.26,26.0
2006-06-05,0,26.0,,0.26,0.0
2006-06-06,0,26.0,,0.26,0.0
2006-06-07,61,26.0,,0.26,15.860000000000001
2006-06-08,31,26.0,,0.26,8.06
2006-06-09,66,26.0,,0.26,17.16
2006-06-10,0,26.0,,0.26,0.0
2006-06-11,0,26.0,,0.26,0.0
2006-06-12,0,26.0,,0.26,0.0
2006-06-13,0,26.0,,0.26,0.0
2006-06-14,0,26.0,,0.26,0.0
2006-06-15,32,26.0,,0.26,8.32
2006-06-16,70,26.0,,0.26,18.2
2006-06-17,0,26.0,,0.26,0.0
2006-06-18,55,26.0,,0.26,14.3
2006-06-19,0,26.0,,0.26,0.0
2006-06-20,31,26.0,,0.26,8.06
2006-06-21,32,26.0,,0.26,8.32
2006-06-22,0,26.0,,0.26,0.0
2006-06-23,33,26.0,,0.26,8.58
2006-06-24,0,26.0,,0.26,0.0
2006-06-25,0,26.0,,0.26,0.0
2006-06-26,61,26.0,,0.26,15.860000000000001
2006-06-27,0,26.0,,0.26,0.0
2006-06-28,0,26.0,,0.26,0.0
2006-06-29,32,26.0,,0.26,8.32
2006-06-30,0,26.0,,0.26,0.0
2006-07-01,0,37.0,False,0.37,0.0
2006-07-02,0,37.0,,0.37,0.0
2006-07-03,0,37.0,,0.37,0.0
2006-07-04,97,37.0,,0.37,35.89
2006-07-05,0,37.0,,0.37,0.0
2006-07-06,32,37.0,,0.37,11.84
2006-07-07,0,37.0,,0.37,0.0
2006-07-08,100,37.0,,0.37,37.0
2006-07-09,0,37.0,,0.37,0.0
2006-07-10,0,37.0,,0.37,0.0
2006-07-11,0,37.0,,0.37,0.0
2006-07-12,31,37.0,,0.37,11.47
2006-07-13,32,37.0,,0.37,11.84
2006-07-14,0,37.0,,0.37,0.0
2006-07-15,0,37.0,,0.37,0.0
2006-07-16,51,37.0,,0.37,18.87
2006-07-17,0,37.0,,0.37,0.0
2006-07-18,31,37.0,,0.37,11.47
2006-07-19,93,37.0,,0.37,34.41
2006-07-20,32,37.0,,0.37,11.84
2006-07-21,33,37.0,,0.37,12.209999999999999
2006-07-22,48,37.0,,0.37,17.759999999999998
2006-07-23,100,37.0,,0.37,37.0
2006-07-24,61,37.0,,0.37,22.57
2006-07-25,0,37.0,,0.37,0.0
2006-07-26,30,37.0,,0.37,11.1
2006-07-27,0,37.0,,0.37,0.0
2006-07-28,33,37.0,,0.37,12.209999999999999
2006-07-29,0,37.0,,0.37,0.0
2006-07-30,99,37.0,,0.37,36.63
2006-07-31,0,37.0,,0.37,0.0
2006-08-01,30,21.0,False,0.21,6.3
2006-08-02,60,21.0,,0.21,12.6
2006-08-03,31,21.0,,0.21,6.51
2006-08-04,100,21.0,,0.21,21.0
2006-08-05,49,21.0,,0.21,10.29
2006-08-06,0,21.0,,0.21,0.0
2006-08-07,0,21.0,,0.21,0.0
2006-08-08,0,21.0,,0.21,0.0
2006-08-09,0,21.0,,0.21,0.0
2006-08-10,31,21.0,,0.21,6.51
2006-08-11,33,21.0,,0.21,6.93
2006-08-12,49,21.0,,0.21,10.29
2006-08-13,0,21.0,,0.21,0.0
2006-08-14,0,21.0,,0.21,0.0
2006-08-15,30,21.0,,0.21,6.3
2006-08-16,30,21.0,,0.21,6.3
2006-08-17,62,21.0,,0.21,13.02
2006-08-18,33,21.0,,0.21,6.93
2006-08-19,47,21.0,,0.21,9.87
2006-08-20,0,21.0,,0.21,0.0
2006-08-21,30,21.0,,0.21,6.3
2006-08-22,0,21.0,,0.21,0.0
2006-08-23,0,21.0,,0.21,0.0
2006-08-24,61,21.0,,0.21,12.809999999999999
2006-08-25,31,21.0,,0.21,6.51
2006-08-26,0,21.0,,0.21,0.0
2006-08-27,44,21.0,,0.21,9.24
2006-08-28,29,21.0,,0.21,6.09
2006-08-29,28,21.0,,0.21,5.88
2006-08-30,29,21.0,,0.21,6.09
2006-08-31,30,21.0,,0.21,6.3
2006-09-01,24,42.0,False,0.42,10.08
2006-09-02,70,42.0,,0.42,29.4
