date,BANKRUPTCY_unscaled,BANKRUPTCY_monthly,isPartial,scale,BANKRUPTCY
2010-03-13,60,75.0,,0.75,45.0
2010-03-14,44,75.0,,0.75,33.0
2010-03-15,93,75.0,,0.75,69.75
2010-03-16,89,75.0,,0.75,66.75
2010-03-17,95,75.0,,0.75,71.25
2010-03-18,97,75.0,,0.75,72.75
2010-03-19,84,75.0,,0.75,63.0
2010-03-20,53,75.0,,0.75,39.75
2010-03-21,53,75.0,,0.75,39.75
2010-03-22,96,75.0,,0.75,72.0
2010-03-23,99,75.0,,0.75,74.25
2010-03-24,86,75.0,,0.75,64.5
2010-03-25,92,75.0,,0.75,69.0
2010-03-26,87,75.0,,0.75,65.25
2010-03-27,55,75.0,,0.75,41.25
2010-03-28,46,75.0,,0.75,34.5
2010-03-29,97,75.0,,0.75,72.75
2010-03-30,96,75.0,,0.75,72.0
2010-03-31,82,75.0,,0.75,61.5
2010-04-01,62,71.0,False,0.71,44.019999999999996
2010-04-02,71,71.0,,0.71,50.41
2010-04-03,44,71.0,,0.71,31.24
2010-04-04,36,71.0,,0.71,25.56
2010-04-05,77,71.0,,0.71,54.669999999999995
2010-04-06,88,71.0,,0.71,62.48
2010-04-07,84,71.0,,0.71,59.64
2010-04-08,91,71.0,,0.71,64.61
2010-04-09,90,71.0,,0.71,63.9
2010-04-10,50,71.0,,0.71,35.5
2010-04-11,69,71.0,,0.71,48.989999999999995
2010-04-12,85,71.0,,0.71,60.349999999999994
2010-04-13,92,71.0,,0.71,65.32
2010-04-14,85,71.0,,0.71,60.349999999999994
2010-04-15,67,71.0,,0.71,47.57
2010-04-16,70,71.0,,0.71,49.699999999999996
2010-04-17,42,71.0,,0.71,29.82
2010-04-18,49,71.0,,0.71,34.79
2010-04-19,82,71.0,,0.71,58.22
2010-04-20,90,71.0,,0.71,63.9
2010-04-21,93,71.0,,0.71,66.03
2010-04-22,100,71.0,,0.71,71.0
2010-04-23,83,71.0,,0.71,58.93
2010-04-24,40,71.0,,0.71,28.4
2010-04-25,50,71.0,,0.71,35.5
2010-04-26,89,71.0,,0.71,63.19
2010-04-27,86,71.0,,0.71,61.059999999999995
2010-04-28,82,71.0,,0.71,58.22
2010-04-29,96,71.0,,0.71,68.16
2010-04-30,72,71.0,,0.71,51.12
2010-05-01,46,66.0,False,0.66,30.360000000000003
2010-05-02,44,66.0,,0.66,29.040000000000003
2010-05-03,80,66.0,,0.66,52.800000000000004
2010-05-04,88,66.0,,0.66,58.080000000000005
2010-05-05,83,66.0,,0.66,54.78
