date,an intervention_unscaled,an intervention_monthly,isPartial,scale,an intervention
2007-05-25,35,15.0,,0.15,5.25
2007-05-26,0,15.0,,0.15,0.0
2007-05-27,0,15.0,,0.15,0.0
2007-05-28,0,15.0,,0.15,0.0
2007-05-29,0,15.0,,0.15,0.0
2007-05-30,60,15.0,,0.15,9.0
2007-05-31,31,15.0,,0.15,4.6499999999999995
2007-06-01,0,18.0,False,0.18,0.0
2007-06-02,0,18.0,,0.18,0.0
2007-06-03,0,18.0,,0.18,0.0
2007-06-04,32,18.0,,0.18,5.76
2007-06-05,32,18.0,,0.18,5.76
2007-06-06,0,18.0,,0.18,0.0
2007-06-07,0,18.0,,0.18,0.0
2007-06-08,36,18.0,,0.18,6.4799999999999995
2007-06-09,0,18.0,,0.18,0.0
2007-06-10,0,18.0,,0.18,0.0
2007-06-11,0,18.0,,0.18,0.0
2007-06-12,0,18.0,,0.18,0.0
2007-06-13,33,18.0,,0.18,5.9399999999999995
2007-06-14,34,18.0,,0.18,6.12
2007-06-15,0,18.0,,0.18,0.0
2007-06-16,0,18.0,,0.18,0.0
2007-06-17,0,18.0,,0.18,0.0
2007-06-18,36,18.0,,0.18,6.4799999999999995
2007-06-19,0,18.0,,0.18,0.0
2007-06-20,36,18.0,,0.18,6.4799999999999995
2007-06-21,0,18.0,,0.18,0.0
2007-06-22,0,18.0,,0.18,0.0
2007-06-23,0,18.0,,0.18,0.0
2007-06-24,0,18.0,,0.18,0.0
2007-06-25,100,18.0,,0.18,18.0
2007-06-26,0,18.0,,0.18,0.0
2007-06-27,0,18.0,,0.18,0.0
2007-06-28,0,18.0,,0.18,0.0
2007-06-29,0,18.0,,0.18,0.0
2007-06-30,0,18.0,,0.18,0.0
2007-07-01,0,10.0,False,0.1,0.0
2007-07-02,0,10.0,,0.1,0.0
2007-07-03,0,10.0,,0.1,0.0
2007-07-04,0,10.0,,0.1,0.0
2007-07-05,0,10.0,,0.1,0.0
2007-07-06,0,10.0,,0.1,0.0
2007-07-07,0,10.0,,0.1,0.0
2007-07-08,0,10.0,,0.1,0.0
2007-07-09,0,10.0,,0.1,0.0
2007-07-10,0,10.0,,0.1,0.0
2007-07-11,0,10.0,,0.1,0.0
2007-07-12,0,10.0,,0.1,0.0
2007-07-13,100,10.0,,0.1,10.0
2007-07-14,0,10.0,,0.1,0.0
2007-07-15,0,10.0,,0.1,0.0
2007-07-16,0,10.0,,0.1,0.0
