date,auction_unscaled,auction_monthly,isPartial,scale,auction
2006-02-07,78,78,False,0.78,60.84
2006-02-08,82,82,False,0.82,67.24
2006-02-09,83,83,False,0.83,68.89
2006-02-10,73,73,False,0.73,53.29
2006-02-11,90,90,False,0.9,81.0
2006-02-12,78,78,False,0.78,60.84
2006-02-13,76,76,False,0.76,57.76
2006-02-14,68,68,False,0.68,46.24
2006-02-15,72,72,False,0.72,51.839999999999996
2006-02-16,74,74,False,0.74,54.76
2006-02-17,74,74,False,0.74,54.76
2006-02-18,100,100,False,1.0,100.0
2006-02-19,84,84,False,0.84,70.56
2006-02-20,83,83,False,0.83,68.89
2006-02-21,84,84,False,0.84,70.56
2006-02-22,66,66,False,0.66,43.56
2006-02-23,91,91,False,0.91,82.81
2006-02-24,65,65,False,0.65,42.25
2006-02-25,90,90,False,0.9,81.0
2006-02-26,94,94,False,0.94,88.36
2006-02-27,52,52,False,0.52,27.04
2006-02-28,69,69,False,0.69,47.61
2006-03-01,81,81,False,0.81,65.61
2006-03-02,66,66,False,0.66,43.56
2006-03-03,71,71,False,0.71,50.41
2006-03-04,100,100,False,1.0,100.0
2006-03-05,78,78,False,0.78,60.84
2006-03-06,94,94,False,0.94,88.36
2006-03-07,61,61,False,0.61,37.21
2006-03-08,77,77,False,0.77,59.29
2006-03-09,66,66,False,0.66,43.56
2006-03-10,80,80,False,0.8,64.0
2006-03-11,82,82,False,0.82,67.24
2006-03-12,79,79,False,0.79,62.410000000000004
2006-03-13,56,56,False,0.56,31.360000000000003
2006-03-14,69,69,False,0.69,47.61
2006-03-15,80,80,False,0.8,64.0
2006-03-16,52,52,False,0.52,27.04
2006-03-17,76,76,False,0.76,57.76
2006-03-18,95,95,False,0.95,90.25
2006-03-19,76,76,False,0.76,57.76
2006-03-20,78,78,False,0.78,60.84
2006-03-21,61,61,False,0.61,37.21
2006-03-22,68,68,False,0.68,46.24
2006-03-23,73,73,False,0.73,53.29
2006-03-24,67,67,False,0.67,44.89
2006-03-25,90,90,False,0.9,81.0
2006-03-26,86,86,False,0.86,73.96
2006-03-27,76,76,False,0.76,57.76
2006-03-28,63,63,False,0.63,39.69
2006-03-29,77,77,False,0.77,59.29
2006-03-30,72,72,False,0.72,51.839999999999996
2006-03-31,77,77,False,0.77,59.29
2006-04-01,100,100,False,1.0,100.0
2006-04-02,80,80,False,0.8,64.0
2006-04-03,64,64,False,0.64,40.96
2006-04-04,85,85,False,0.85,72.25
2006-04-05,71,71,False,0.71,50.41
2006-04-06,76,76,False,0.76,57.76
2006-04-07,81,81,False,0.81,65.61
2006-04-08,57,57,False,0.57,32.489999999999995
2006-04-09,77,77,False,0.77,59.29
2006-04-10,63,63,False,0.63,39.69
2006-04-11,67,67,False,0.67,44.89
2006-04-12,71,71,False,0.71,50.41
2006-04-13,69,69,False,0.69,47.61
2006-04-14,73,73,False,0.73,53.29
2006-04-15,81,81,False,0.81,65.61
2006-04-16,58,58,False,0.58,33.64
2006-04-17,66,66,False,0.66,43.56
2006-04-18,77,77,False,0.77,59.29
2006-04-19,76,76,False,0.76,57.76
2006-04-20,60,60,False,0.6,36.0
2006-04-21,89,89,False,0.89,79.21000000000001
2006-04-22,97,97,False,0.97,94.09
2006-04-23,68,68,False,0.68,46.24
2006-04-24,88,88,False,0.88,77.44
2006-04-25,68,68,False,0.68,46.24
2006-04-26,68,68,False,0.68,46.24
2006-04-27,64,64,False,0.64,40.96
2006-04-28,78,78,False,0.78,60.84
2006-04-29,78,78,False,0.78,60.84
2006-04-30,79,79,False,0.79,62.410000000000004
2006-05-01,74,74,False,0.74,54.76
2006-05-02,71,71,False,0.71,50.41
2006-05-03,74,74,False,0.74,54.76
2006-05-04,76,76,False,0.76,57.76
2006-05-05,86,86,False,0.86,73.96
2006-05-06,78,78,False,0.78,60.84
2006-05-07,75,75,False,0.75,56.25
2006-05-08,69,69,False,0.69,47.61
2006-05-09,82,82,False,0.82,67.24
2006-05-10,84,84,False,0.84,70.56
2006-05-11,77,77,False,0.77,59.29
2006-05-12,78,78,False,0.78,60.84
2006-05-13,76,76,False,0.76,57.76
2006-05-14,71,71,False,0.71,50.41
2006-05-15,100,100,False,1.0,100.0
2006-05-16,64,64,False,0.64,40.96
2006-05-17,80,80,False,0.8,64.0
2006-05-18,64,64,False,0.64,40.96
2006-05-19,93,93,False,0.93,86.49000000000001
2006-05-20,93,93,False,0.93,86.49000000000001
2006-05-21,100,100,False,1.0,100.0
2006-05-22,78,78,False,0.78,60.84
2006-05-23,72,72,False,0.72,51.839999999999996
2006-05-24,66,66,False,0.66,43.56
2006-05-25,67,67,False,0.67,44.89
2006-05-26,68,68,False,0.68,46.24
2006-05-27,86,86,False,0.86,73.96
2006-05-28,61,61,False,0.61,37.21
2006-05-29,99,99,False,0.99,98.01
2006-05-30,75,75,False,0.75,56.25
2006-05-31,74,74,False,0.74,54.76
2006-06-01,63,63,False,0.63,39.69
2006-06-02,73,73,False,0.73,53.29
2006-06-03,85,85,False,0.85,72.25
2006-06-04,72,72,False,0.72,51.839999999999996
2006-06-05,60,60,False,0.6,36.0
2006-06-06,75,75,False,0.75,56.25
2006-06-07,60,60,False,0.6,36.0
2006-06-08,68,68,False,0.68,46.24
2006-06-09,68,68,False,0.68,46.24
2006-06-10,75,75,False,0.75,56.25
2006-06-11,62,62,False,0.62,38.44
2006-06-12,78,78,False,0.78,60.84
2006-06-13,66,66,False,0.66,43.56
2006-06-14,80,80,False,0.8,64.0
