date,equity bank_unscaled,equity bank_monthly,isPartial,scale,equity bank
2014-06-08,19,56.0,,0.56,10.64
2014-06-09,66,56.0,,0.56,36.96
2014-06-10,96,56.0,,0.56,53.760000000000005
2014-06-11,59,56.0,,0.56,33.040000000000006
2014-06-12,52,56.0,,0.56,29.120000000000005
2014-06-13,70,56.0,,0.56,39.2
2014-06-14,38,56.0,,0.56,21.28
2014-06-15,40,56.0,,0.56,22.400000000000002
2014-06-16,52,56.0,,0.56,29.120000000000005
2014-06-17,80,56.0,,0.56,44.800000000000004
2014-06-18,30,56.0,,0.56,16.8
2014-06-19,45,56.0,,0.56,25.200000000000003
2014-06-20,39,56.0,,0.56,21.840000000000003
2014-06-21,57,56.0,,0.56,31.92
2014-06-22,10,56.0,,0.56,5.6000000000000005
2014-06-23,60,56.0,,0.56,33.6
2014-06-24,66,56.0,,0.56,36.96
2014-06-25,15,56.0,,0.56,8.4
2014-06-26,45,56.0,,0.56,25.200000000000003
2014-06-27,8,56.0,,0.56,4.48
2014-06-28,47,56.0,,0.56,26.320000000000004
2014-06-29,39,56.0,,0.56,21.840000000000003
2014-06-30,67,56.0,,0.56,37.52
2014-07-01,78,69.0,False,0.69,53.81999999999999
2014-07-02,37,69.0,,0.69,25.529999999999998
2014-07-03,44,69.0,,0.69,30.36
2014-07-04,31,69.0,,0.69,21.389999999999997
2014-07-05,8,69.0,,0.69,5.52
2014-07-06,55,69.0,,0.69,37.949999999999996
2014-07-07,66,69.0,,0.69,45.54
2014-07-08,53,69.0,,0.69,36.57
2014-07-09,42,69.0,,0.69,28.979999999999997
2014-07-10,67,69.0,,0.69,46.23
2014-07-11,50,69.0,,0.69,34.5
2014-07-12,30,69.0,,0.69,20.7
2014-07-13,52,69.0,,0.69,35.879999999999995
2014-07-14,100,69.0,,0.69,69.0
2014-07-15,47,69.0,,0.69,32.43
2014-07-16,54,69.0,,0.69,37.26
2014-07-17,61,69.0,,0.69,42.089999999999996
2014-07-18,38,69.0,,0.69,26.22
2014-07-19,38,69.0,,0.69,26.22
2014-07-20,30,69.0,,0.69,20.7
2014-07-21,48,69.0,,0.69,33.12
2014-07-22,47,69.0,,0.69,32.43
2014-07-23,42,69.0,,0.69,28.979999999999997
2014-07-24,54,69.0,,0.69,37.26
2014-07-25,62,69.0,,0.69,42.779999999999994
2014-07-26,22,69.0,,0.69,15.18
2014-07-27,53,69.0,,0.69,36.57
2014-07-28,66,69.0,,0.69,45.54
2014-07-29,47,69.0,,0.69,32.43
2014-07-30,71,69.0,,0.69,48.989999999999995
2014-07-31,18,69.0,,0.69,12.419999999999998
2014-08-01,75,64.0,False,0.64,48.0
2014-08-02,18,64.0,,0.64,11.52
2014-08-03,46,64.0,,0.64,29.44
2014-08-04,29,64.0,,0.64,18.56
2014-08-05,72,64.0,,0.64,46.08
2014-08-06,72,64.0,,0.64,46.08
2014-08-07,66,64.0,,0.64,42.24
2014-08-08,46,64.0,,0.64,29.44
2014-08-09,54,64.0,,0.64,34.56
2014-08-10,18,64.0,,0.64,11.52
2014-08-11,64,64.0,,0.64,40.96
2014-08-12,75,64.0,,0.64,48.0
2014-08-13,56,64.0,,0.64,35.84
2014-08-14,73,64.0,,0.64,46.72
2014-08-15,38,64.0,,0.64,24.32
2014-08-16,55,64.0,,0.64,35.2
2014-08-17,63,64.0,,0.64,40.32
2014-08-18,87,64.0,,0.64,55.68
2014-08-19,100,64.0,,0.64,64.0
2014-08-20,70,64.0,,0.64,44.800000000000004
2014-08-21,14,64.0,,0.64,8.96
2014-08-22,59,64.0,,0.64,37.76
2014-08-23,35,64.0,,0.64,22.400000000000002
2014-08-24,44,64.0,,0.64,28.16
2014-08-25,63,64.0,,0.64,40.32
2014-08-26,35,64.0,,0.64,22.400000000000002
2014-08-27,92,64.0,,0.64,58.88
2014-08-28,56,64.0,,0.64,35.84
2014-08-29,44,64.0,,0.64,28.16
2014-08-30,18,64.0,,0.64,11.52
2014-08-31,63,64.0,,0.64,40.32
2014-09-01,15,62.0,False,0.62,9.3
2014-09-02,68,62.0,,0.62,42.16
2014-09-03,49,62.0,,0.62,30.38
2014-09-04,62,62.0,,0.62,38.44
2014-09-05,45,62.0,,0.62,27.9
2014-09-06,31,62.0,,0.62,19.22
2014-09-07,46,62.0,,0.62,28.52
2014-09-08,42,62.0,,0.62,26.04
2014-09-09,54,62.0,,0.62,33.48
2014-09-10,85,62.0,,0.62,52.7
2014-09-11,62,62.0,,0.62,38.44
2014-09-12,32,62.0,,0.62,19.84
2014-09-13,78,62.0,,0.62,48.36
2014-09-14,55,62.0,,0.62,34.1
2014-09-15,55,62.0,,0.62,34.1
2014-09-16,96,62.0,,0.62,59.519999999999996
2014-09-17,86,62.0,,0.62,53.32
2014-09-18,43,62.0,,0.62,26.66
2014-09-19,77,62.0,,0.62,47.74
2014-09-20,32,62.0,,0.62,19.84
2014-09-21,46,62.0,,0.62,28.52
2014-09-22,86,62.0,,0.62,53.32
2014-09-23,73,62.0,,0.62,45.26
2014-09-24,56,62.0,,0.62,34.72
2014-09-25,100,62.0,,0.62,62.0
2014-09-26,65,62.0,,0.62,40.3
2014-09-27,24,62.0,,0.62,14.879999999999999
2014-09-28,31,62.0,,0.62,19.22
2014-09-29,61,62.0,,0.62,37.82
2014-09-30,60,62.0,,0.62,37.2
2014-10-01,100,68.0,False,0.68,68.0
2014-10-02,68,68.0,,0.68,46.24
2014-10-03,12,68.0,,0.68,8.16
2014-10-04,7,68.0,,0.68,4.760000000000001
2014-10-05,43,68.0,,0.68,29.240000000000002
2014-10-06,74,68.0,,0.68,50.32
2014-10-07,67,68.0,,0.68,45.56
2014-10-08,50,68.0,,0.68,34.0
2014-10-09,62,68.0,,0.68,42.160000000000004
2014-10-10,36,68.0,,0.68,24.48
2014-10-11,22,68.0,,0.68,14.96
2014-10-12,14,68.0,,0.68,9.520000000000001
2014-10-13,68,68.0,,0.68,46.24
2014-10-14,60,68.0,,0.68,40.800000000000004
2014-10-15,50,68.0,,0.68,34.0
2014-10-16,33,68.0,,0.68,22.44
2014-10-17,29,68.0,,0.68,19.720000000000002
2014-10-18,22,68.0,,0.68,14.96
2014-10-19,36,68.0,,0.68,24.48
2014-10-20,50,68.0,,0.68,34.0
2014-10-21,56,68.0,,0.68,38.080000000000005
2014-10-22,50,68.0,,0.68,34.0
2014-10-23,55,68.0,,0.68,37.400000000000006
2014-10-24,93,68.0,,0.68,63.24
2014-10-25,51,68.0,,0.68,34.68
2014-10-26,7,68.0,,0.68,4.760000000000001
2014-10-27,44,68.0,,0.68,29.92
2014-10-28,38,68.0,,0.68,25.840000000000003
2014-10-29,66,68.0,,0.68,44.88
2014-10-30,34,68.0,,0.68,23.12
2014-10-31,60,68.0,,0.68,40.800000000000004
2014-11-01,18,53.0,False,0.53,9.540000000000001
2014-11-02,51,53.0,,0.53,27.03
2014-11-03,48,53.0,,0.53,25.44
2014-11-04,60,53.0,,0.53,31.8
2014-11-05,33,53.0,,0.53,17.490000000000002
